Subject,Object,DBSCAN_Cluster,Sentence
dissolution,carbon,0,The carbonate dissolution and hydrous melting of carbonate-bearing crustal materials were advocated as two potential pathways for transferring subducted carbon to the mantle wedge at subarc depths9–11.
pressure,density,0,We calculated the densities of the lime- stone used for the starting material in our high-pressure experiments as a function of temperature and pressure using Perple_X 6.9.059 and compared them to the density of the harzburgite42.
temperature,pressure,0,We calculated the densities of the lime- stone used for the starting material in our high-pressure experiments as a function of temperature and pressure using Perple_X 6.9.059 and compared them to the density of the harzburgite42.
carbon,temperature,0,The proportion of carbonatite melt is 5–10 wt.% in near-solidus experiments and increases with the temperature (Supplementary Table 1; Supplemen- tary Fig. 2).
density,temperature,0,"A number of studies have speculated that diapirism of buoyant sedimentary materials could provide an addi- tional pathway for recycled crustal carbonate to rise into the mantle wedge due to their low density and high melting temperature5,15–18 but as yet,"
temperature,density,0,We calculated the densities of the lime- stone used for the starting material in our high-pressure experiments as a function of temperature and pressure using Perple_X 6.9.059 and compared them to the density of the harzburgite42.
pressure,density,0,We calculated the densities of the lime- stone used for the starting material in our high-pressure experiments as a function of temperature and pressure using Perple_X 6.9.059 and compared them to the density of the harzburgite42.
carbonate,carbon,0,The carbonate dissolution and hydrous melting of carbonate-bearing crustal materials were advocated as two potential pathways for transferring subducted carbon to the mantle wedge at subarc depths9–11.
density,pressure,0,"Interestingly, the magnitude of the density contrast signiﬁcantly increases at a pressure of about 2.5 GPa, due to signiﬁcantly increasing temperature along the subduction geotherm at this pressure."
carbon,chemical,0,"1 Subduction carbon ﬂuxes and chemical compositions of starting materials. a The constructed carbon budget in global subduction zones at forearc depths3,8 and subarc depths6."
carbon,storage,0,ive carbon storage in convergent margins.
pressure,temperature,0,"Interestingly, the magnitude of the density contrast signiﬁcantly increases at a pressure of about 2.5 GPa, due to signiﬁcantly increasing temperature along the subduction geotherm at this pressure."
chemical,carbon,0,"1 Subduction carbon ﬂuxes and chemical compositions of starting materials. a The constructed carbon budget in global subduction zones at forearc depths3,8 and subarc depths6."
temperature,pressure,0,"Interestingly, the magnitude of the density contrast signiﬁcantly increases at a pressure of about 2.5 GPa, due to signiﬁcantly increasing temperature along the subduction geotherm at this pressure."
carbonate,pressure,0,"This indicates that limestone-bearing sediments are more likely to form the buoyant diapirs at >2.5 GPa than the silicate sediments, strengthening our calculation results of carbonate diapirs forming at the pressure of 2.4–3.5 GPa."
thermal,temperature,0,"Using thermal-mechanical modelling, Behn, et al.37 calculated the relationship of instability time versus temperature and sediment layer thickness during subduction of sediments assuming a density contrast of −200 kg/m3 and viscosity ratio of 1:100 betwee"
thermal,model,0,The calculations are sensitive to the slab-top geotherm and diapirism may occur at a shallower depth if the subduction is hotter than the thermal model used in our calculation64.
carbon,mineral,0,"669–701 (Elsevier, 2014). 13. Manning, C. E., Shock, E. L. & Sverjensky, D. A. The chemistry of carbon in aqueous ﬂuids at crustal and upper-mantle conditions: experimental and theoretical constraints. Rev. Mineral. Geochem. 75, 109–148 (2013). 14. Plank, T."
temperature,density,0,"Using thermal-mechanical modelling, Behn, et al.37 calculated the relationship of instability time versus temperature and sediment layer thickness during subduction of sediments assuming a density contrast of −200 kg/m3 and viscosity ratio of 1:100 betwee"
phase,carbonate,0,"Melting phase relation of nominally anhydrous, carbonated pelitic-eclogite at 2.5–3.0 GPa and deep cycling of sedimentary carbon. Contributions Mineral. Petrol. 161, 743–763 (2011). 16. Thomsen, T. B. & Schmidt, M. W."
carbonate,carbon,0,"Melting phase relation of nominally anhydrous, carbonated pelitic-eclogite at 2.5–3.0 GPa and deep cycling of sedimentary carbon. Contributions Mineral. Petrol. 161, 743–763 (2011). 16. Thomsen, T. B. & Schmidt, M. W."
carbonate,carbon,0,"Melting of carbonated pelites at 2.5–5.0 GPa, silicate–carbonatite liquid immiscibility, and potassium–carbon metasomatism of the mantle. Earth Planet. Sci. Lett. 267,17–31 (2008). 17. Tsuno, K., Dasgupta, R., Danielson, L. & Righter, K."
carbon,mineral,0,"Cosmochimica Acta 39,35–53 (1975). 21. Lee, W. J. & Wyllie, P. J. J. The system CaO-MgO-SiO2-CO2 at 1 GPa, metasomatic wehrlites, and primary carbonatite magmas. Contributions Mineral. Petrol. 138, 214–228 (2000). 22. Lee, W. J., Huang, W. L. & Wyllie, P. J."
temperature,carbonate,0,"Given the density contrast of −348 to −228 kg/m3 and viscosity ratio of about 1:100 between the marble and overlying mantle, we can calculate the temperature required for the formation of a carbonate diapir, projecting the thickness of limestone-bearing s"
carbon,mineral,0,"Melting phase relation of nominally anhydrous, carbonated pelitic-eclogite at 2.5–3.0 GPa and deep cycling of sedimentary carbon. Contributions Mineral. Petrol. 161, 743–763 (2011). 16. Thomsen, T. B. & Schmidt, M. W."
carbonate,source,0,"Flux of carbonate melt from deeply subducted pelitic sediments: Geophysical and geochemical implications for the source of Central American volcanic arc. Geophys. Res. Lett. 39, L16307 (2012). 18. Tsuno, K. & Dasgupta, R."
carbonate,carbon,0,"Mineralogist 98, 2164–2171 (2013). 27. Thomsen, T. B. & Schmidt, M. W. Melting of carbonated pelites at 2.5-5.0 Gpa, silicate-carbonatite liquid immiscibility, and potassium-carbon metasomatism of the mantle. Earth Planet. Sci. Lett. 267,17–31 (2008). 28."
carbonate,storage,0,"The solidus of carbonated, fertile peridotite. Earth Planet. Sci. Lett. 94, 364–370 (1989). 30. Hammouda, T. High-pressure melting of carbonated eclogite and experimental constraints on carbon recycling and storage in the mantle. Earth Planet. Sci. Lett."
project,site,0,"M iddle miocene ocean-climate transition - high- resolution oxygen and carbon isotopic records from Deep Sea Drilling Project site 588A, southwest paciﬁc. Paleoceanography 8, 811–843 (1993). 53. Diester-Haass, L. et al."
depth,carbonate,0,"Based on the slab geotherms and the required temperatures, we can calculate the depth of formation of carbonate diapirs."
carbon,isotope,0,"Paleoproductivity during the middle Miocene carbon isotope events: a data-model approach. Paleoceanography 28, 334–346 (2013). 54. Holbourn, A. et al. Middle Miocene climate cooling linked to intensiﬁcation of eastern equatorial Paciﬁc upwelling."
carbonate,greenhouse,0,"39. Retallack, G. J. Reﬁning a pedogenic-carbonate CO2 paleobarometer to quantify a middle Miocene greenhouse spike. Palaeogeogr. Palaeoclimatol. Palaeoecol. 281,57–65 (2009). 40. John, C. M. et al."
carbonate,volcanic ,0,"Flux of carbonate melt from deeply subducted pelitic sediments: Geophysical and geochemical implications for the source of Central American volcanic arc. Geophys. Res. Lett. 39, L16307 (2012). 18. Tsuno, K. & Dasgupta, R."
carbon,model,0,"Paleoproductivity during the middle Miocene carbon isotope events: a data-model approach. Paleoceanography 28, 334–346 (2013). 54. Holbourn, A. et al. Middle Miocene climate cooling linked to intensiﬁcation of eastern equatorial Paciﬁc upwelling."
isotope,model,0,"Paleoproductivity during the middle Miocene carbon isotope events: a data-model approach. Paleoceanography 28, 334–346 (2013). 54. Holbourn, A. et al. Middle Miocene climate cooling linked to intensiﬁcation of eastern equatorial Paciﬁc upwelling."
carbon,storage,0,"The solidus of carbonated, fertile peridotite. Earth Planet. Sci. Lett. 94, 364–370 (1989). 30. Hammouda, T. High-pressure melting of carbonated eclogite and experimental constraints on carbon recycling and storage in the mantle. Earth Planet. Sci. Lett."
depth,thermal,0,The calculations are sensitive to the slab-top geotherm and diapirism may occur at a shallower depth if the subduction is hotter than the thermal model used in our calculation64.
carbon,carbonate,0,"Dasgupta, R., Hirschmann, M. M. & Withers, A. C. Deep global cycling of carbon constrained by the solidus of anhydrous, carbonated eclogite under upper mantle conditions. Earth Planet. Sci. Lett. 227,73–85 (2004). 29. Falloon, T. J. & Green, D. H."
dynamics,carbon,0,"Middle Miocene ice sheet dynamics, deep-sea temperatures, and carbon cycling: a Southern Ocean perspective. Geochem. Geophys. Geosyst. 9, https://doi.org/10.1029/ 2007gc001736 (2008). 42. Gasson, E., DeConto, R. M., Pollard, D. & Levy, R. H."
source,volcanic ,0,"Flux of carbonate melt from deeply subducted pelitic sediments: Geophysical and geochemical implications for the source of Central American volcanic arc. Geophys. Res. Lett. 39, L16307 (2012). 18. Tsuno, K. & Dasgupta, R."
carbon,temperature,0,"Orbitally paced carbon and deep- sea temperature changes at the peaK of the early Eocene Climatic Optimum. Paleoceanogr. Paleoclimatol. 33, 1050–1065 (2018). 49. Gutjahr, M. et al."
phase,pressure,0,"214, 357–368 (2003). 31. Massonne, H.-J. Phase relations of siliceous marbles at ultrahigh pressure based on thermodynamic calculations: examples from the Kokchetav Massif, Kazakhstan and the Sulu terrane, China. Geol. J. 46, 114–125 (2011). 32."
depth,model,0,The calculations are sensitive to the slab-top geotherm and diapirism may occur at a shallower depth if the subduction is hotter than the thermal model used in our calculation64.
pressure,carbonate,0,"The solidus of carbonated, fertile peridotite. Earth Planet. Sci. Lett. 94, 364–370 (1989). 30. Hammouda, T. High-pressure melting of carbonated eclogite and experimental constraints on carbon recycling and storage in the mantle. Earth Planet. Sci. Lett."
volcanic ,carbon,0,"Very large release of mostly volcanic carbon during the Palaeocene-Eocene Thermal Maximum. Nature 548, 573–577 (2017). 50. Miller, K. G. et al. The phanerozoic record of global sea-level change. Science 310, 1293–1298 (2005). 51. O’Brien, C. L. et al."
volcanic ,thermal,0,"Very large release of mostly volcanic carbon during the Palaeocene-Eocene Thermal Maximum. Nature 548, 573–577 (2017). 50. Miller, K. G. et al. The phanerozoic record of global sea-level change. Science 310, 1293–1298 (2005). 51. O’Brien, C. L. et al."
pressure,carbon,0,"The solidus of carbonated, fertile peridotite. Earth Planet. Sci. Lett. 94, 364–370 (1989). 30. Hammouda, T. High-pressure melting of carbonated eclogite and experimental constraints on carbon recycling and storage in the mantle. Earth Planet. Sci. Lett."
surface,temperature,0,"Cretaceous sea-surface temperature evolution: constraints from TEX86 and planktonic foraminiferal oxygen isotopes. Earth Sci. Rev. 172, 224–247 (2017). 52. Flower, B. P. & Kennett, J. P."
carbon,thermal,0,"Very large release of mostly volcanic carbon during the Palaeocene-Eocene Thermal Maximum. Nature 548, 573–577 (2017). 50. Miller, K. G. et al. The phanerozoic record of global sea-level change. Science 310, 1293–1298 (2005). 51. O’Brien, C. L. et al."
surface,isotope,0,"Cretaceous sea-surface temperature evolution: constraints from TEX86 and planktonic foraminiferal oxygen isotopes. Earth Sci. Rev. 172, 224–247 (2017). 52. Flower, B. P. & Kennett, J. P."
pressure,storage,0,"The solidus of carbonated, fertile peridotite. Earth Planet. Sci. Lett. 94, 364–370 (1989). 30. Hammouda, T. High-pressure melting of carbonated eclogite and experimental constraints on carbon recycling and storage in the mantle. Earth Planet. Sci. Lett."
carbonate,carbon,0,"The solidus of carbonated, fertile peridotite. Earth Planet. Sci. Lett. 94, 364–370 (1989). 30. Hammouda, T. High-pressure melting of carbonated eclogite and experimental constraints on carbon recycling and storage in the mantle. Earth Planet. Sci. Lett."
temperature,isotope,0,"Cretaceous sea-surface temperature evolution: constraints from TEX86 and planktonic foraminiferal oxygen isotopes. Earth Sci. Rev. 172, 224–247 (2017). 52. Flower, B. P. & Kennett, J. P."
carbon,reservoir,0,"Simulation of long eccentricity (400-kyr) cycle in ocean carbon reservoir during Miocene Climate Optimum: weathering and nutrient response to orbital change. Geophys. Res. Lett. 38, https://doi.org/10.1029/2011gl047680 (2011). 59. Party, S. S. Site 926 pp."
carbon,analysis,0,"A global ocean carbon climatology: results from Global Data Analysis Project (GLODAP). Global Biogeochem. Cycles 18, https://doi.org/ 10.1029/2004gb002247 (2004). 79. Sexton, P. F., Wilson, P. A. & Pearson, P. N."
carbon,project,0,"M iddle miocene ocean-climate transition - high- resolution oxygen and carbon isotopic records from Deep Sea Drilling Project site 588A, southwest paciﬁc. Paleoceanography 8, 811–843 (1993). 53. Diester-Haass, L. et al."
carbon,site,0,"M iddle miocene ocean-climate transition - high- resolution oxygen and carbon isotopic records from Deep Sea Drilling Project site 588A, southwest paciﬁc. Paleoceanography 8, 811–843 (1993). 53. Diester-Haass, L. et al."
carbon,project,0,"A global ocean carbon climatology: results from Global Data Analysis Project (GLODAP). Global Biogeochem. Cycles 18, https://doi.org/ 10.1029/2004gb002247 (2004). 79. Sexton, P. F., Wilson, P. A. & Pearson, P. N."
analysis,project,0,"A global ocean carbon climatology: results from Global Data Analysis Project (GLODAP). Global Biogeochem. Cycles 18, https://doi.org/ 10.1029/2004gb002247 (2004). 79. Sexton, P. F., Wilson, P. A. & Pearson, P. N."
carbonate,chemistry,0,"Boron isotopic composition and concentration in modern marine carbonates. Geochim. Cosmochim. Acta 56, 537–543 (1992). 83. Howes, E. L. et al. Decoupled carbonate chemistry controls on the incorporation of boron into Orbulina universa."
chemistry,carbon,0,"The effects of secular calcium and magnesium concentration changes on the thermodynamics of seawater acid/base chemistry: Implications for Eocene and Cretaceous ocean carbon chemistry and buffering. Glob. Biogeochem. Cycles 29, 517–533 (2015). 90. Ridgwell, A."
surface,thermal,0,"Capturing the global signature of surface ocean acidiﬁcation during the Palaeocene–Eocene Thermal Maximum. Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences 376.2130, 20170072 (2018). 86. Foster, G. L."
chemistry,buffer,0,"The effects of secular calcium and magnesium concentration changes on the thermodynamics of seawater acid/base chemistry: Implications for Eocene and Cretaceous ocean carbon chemistry and buffering. Glob. Biogeochem. Cycles 29, 517–533 (2015). 90. Ridgwell, A."
carbonate,chemistry,0,"A mid Mesozoic revolution in the regulation of ocean chemistry. Mar. Geol. 217, 339–357 (2005). 91. Boudreau, B. P., Middelburg, J. J., Sluijs, A. & van der Ploeg, R. Secular variations in the carbonate chemistry of the oceans over the Cenozoic. Earth Planet. Sci."
core,assessment,0,"A core top assessment of proxies for the ocean carbonate system in surface-dwelling foraminifers. Paleoceanography 22, https://doi.org/ 10.1029/2006pa001337 (2007). 88. Lemarchand, D., Gaillardet, J., Lewin, E. & Allegre, C. J."
core,carbonate,0,"A core top assessment of proxies for the ocean carbonate system in surface-dwelling foraminifers. Paleoceanography 22, https://doi.org/ 10.1029/2006pa001337 (2007). 88. Lemarchand, D., Gaillardet, J., Lewin, E. & Allegre, C. J."
carbon,isotope,0,"As with the MCO, these δ13C carbon isotope excursions are associated with enhanced carbon burial and potentially enhanced marine productivity."
carbon,chemistry,0,"The effects of secular calcium and magnesium concentration changes on the thermodynamics of seawater acid/base chemistry: Implications for Eocene and Cretaceous ocean carbon chemistry and buffering. Glob. Biogeochem. Cycles 29, 517–533 (2015). 90. Ridgwell, A."
core,surface,0,"A core top assessment of proxies for the ocean carbonate system in surface-dwelling foraminifers. Paleoceanography 22, https://doi.org/ 10.1029/2006pa001337 (2007). 88. Lemarchand, D., Gaillardet, J., Lewin, E. & Allegre, C. J."
carbon,buffer,0,"The effects of secular calcium and magnesium concentration changes on the thermodynamics of seawater acid/base chemistry: Implications for Eocene and Cretaceous ocean carbon chemistry and buffering. Glob. Biogeochem. Cycles 29, 517–533 (2015). 90. Ridgwell, A."
assessment,carbonate,0,"A core top assessment of proxies for the ocean carbonate system in surface-dwelling foraminifers. Paleoceanography 22, https://doi.org/ 10.1029/2006pa001337 (2007). 88. Lemarchand, D., Gaillardet, J., Lewin, E. & Allegre, C. J."
isotope,temperature,0,"Recent efforts to reconstruct CO2 using the boron isotope and alkenone-based paleobarometers, with more robust organic proxy-based temperature estimates, instead suggest that the warmth of the MCO was sustained by relatively high CO2 (470–630 ppm) and the"
isotope,carbon,0,"As with the MCO, these δ13C carbon isotope excursions are associated with enhanced carbon burial and potentially enhanced marine productivity."
assessment,surface,0,"A core top assessment of proxies for the ocean carbonate system in surface-dwelling foraminifers. Paleoceanography 22, https://doi.org/ 10.1029/2006pa001337 (2007). 88. Lemarchand, D., Gaillardet, J., Lewin, E. & Allegre, C. J."
chemistry,buffer,0,"The effects of secular calcium and magnesium concentration changes on the thermodynamics of seawater acid/base chemistry: Implications for Eocene and Cretaceous ocean carbon chemistry and buffering. Glob. Biogeochem. Cycles 29, 517–533 (2015). 90. Ridgwell, A."
carbonate,surface,0,"A core top assessment of proxies for the ocean carbonate system in surface-dwelling foraminifers. Paleoceanography 22, https://doi.org/ 10.1029/2006pa001337 (2007). 88. Lemarchand, D., Gaillardet, J., Lewin, E. & Allegre, C. J."
volcanic ,carbon,0,"However, attributing the MCIE solely to a volcanic carbon source does not explain the ~400 kyr pacing of the carbon maxima events or the organic-rich sedimentation typiﬁed by the Monterey Formation and modeling produces a ~0.4‰ change in mean whole ocean "
estimated,basalt,0,Miocene DIC values were subtracted from average MCO DIC levels to calculate △DIC. g Estimated eruption rate of the Columbia River Basalt93.
carbon,environment,0,"S.M.S. acknowledges the ﬁnancial support provided by the Welsh Government and Higher Education Funding Council for Wales through the Ser Cymru National Research Net- work for Low Carbon, Energy, and Environment Returning Fellowship."
carbon,isotope,0,"The association of the warmth of the MCO with elevated CO2 levels, organic-rich sedimentation, and positive carbon isotope excursions is reminiscent of the Cretaceous carbon cycle pertur- bations marked by widespread deposition of organic-rich sedi- ments"
volcanic ,source,0,"However, attributing the MCIE solely to a volcanic carbon source does not explain the ~400 kyr pacing of the carbon maxima events or the organic-rich sedimentation typiﬁed by the Monterey Formation and modeling produces a ~0.4‰ change in mean whole ocean "
volcanic ,carbon,0,"However, attributing the MCIE solely to a volcanic carbon source does not explain the ~400 kyr pacing of the carbon maxima events or the organic-rich sedimentation typiﬁed by the Monterey Formation and modeling produces a ~0.4‰ change in mean whole ocean "
isotope,carbon,0,"The association of the warmth of the MCO with elevated CO2 levels, organic-rich sedimentation, and positive carbon isotope excursions is reminiscent of the Cretaceous carbon cycle pertur- bations marked by widespread deposition of organic-rich sedi- ments"
carbon,source,0,"However, attributing the MCIE solely to a volcanic carbon source does not explain the ~400 kyr pacing of the carbon maxima events or the organic-rich sedimentation typiﬁed by the Monterey Formation and modeling produces a ~0.4‰ change in mean whole ocean "
greenhouse,cost,0,"This is thought to represent a key negative feedback in Earth’s ice-free greenhouse climate mode, helping to draw-down atmospheric CO2, but is one which came at a cost to Cretaceous marine ecosystems—widespread oceanic anoxia33."
source,carbon,0,"However, attributing the MCIE solely to a volcanic carbon source does not explain the ~400 kyr pacing of the carbon maxima events or the organic-rich sedimentation typiﬁed by the Monterey Formation and modeling produces a ~0.4‰ change in mean whole ocean "
carbon,chemistry,0,Records of ocean carbon chemistry are therefore required to understand the nature of the carbon cycle feedbacks in this warmer-than-present icehouse world.
carbon,storage,0,"Directly reconstructing relative changes in dissolved inorganic carbon (DIC) content of seawater would allow us to more ﬁrmly quantify changes in oceanic carbon storage, which would enable the carbon cycle feedback processes associated with the MCO to be "
isotope,carbon,0,This suggests that the MCIE is not the sum of the carbon maxima events as originally supposed by the Monterey Hypothesis and instead that these two features of the carbon isotope record reﬂect different carbon cycle processes.
chemistry,carbon,0,Records of ocean carbon chemistry are therefore required to understand the nature of the carbon cycle feedbacks in this warmer-than-present icehouse world.
carbon,storage,0,"Directly reconstructing relative changes in dissolved inorganic carbon (DIC) content of seawater would allow us to more ﬁrmly quantify changes in oceanic carbon storage, which would enable the carbon cycle feedback processes associated with the MCO to be "
carbon,isotope,0,"We present a moderately high resolution (one sample every ~23 kyr) multi- proxy record of B/Ca, Mg/Ca, and carbon isotope (δ13Cp) variability in the planktic foraminifer Trilobatus trilobus spanning 16.5 to 11.5 Ma from Ocean Drilling Program (ODP) Site 7"
carbon,isotope,0,"We suggest that the broad MCIE represents a negative feedback process akin to Cretaceous Oceanic Anoxic Events (OAEs), which operated in a warmer-than-present icehouse world while the positive carbon isotope excursions (CM events) within the Monterey carb"
storage,carbon,0,"Directly reconstructing relative changes in dissolved inorganic carbon (DIC) content of seawater would allow us to more ﬁrmly quantify changes in oceanic carbon storage, which would enable the carbon cycle feedback processes associated with the MCO to be "
core,surface,0,"We then apply ad hoc calibrations, based on modern culture and core-top datasets, along with existing records of pH to approx- imate shifts in surface ocean BðOHÞ 4 =DIC and [B(OH)4−/ HCO3−], and ultimately DIC (see Methods)."
carbonate,chemistry,0,"Estimation of surface ocean [B(OH)4−/HCO3−]sw and [B(OH)4-/DIC]sw from B/Ca. Similar to boron isotopes, the boron content (expressed as B/Ca) of planktic foraminifera has been suggested to be a proxy for ocean carbonate chemistry69,81."
carbonate,chemistry,0,"In addition to changes in seawater Mg/Ca, Mg incorporation in foraminifera has shown a species-speciﬁc dependency to changes in carbonate chemistry."
carbonate,chemistry,0,"B/Ca in planktic foraminifera is controlled by a combination of ocean carbonate chemistry parameters (pH, B(OH)4− HCO 3 and DIC) as demonstrated through empirical culture experiments and ﬁeld studies71,81,83."
carbon,storage,0,We then pair these records of ocean carbon storage with planktic Mg/Ca and δ13Cp records and previously published benthic δ18O records to provide a novel perspective on the MCIE and drivers of the carbon cycle across the middle Miocene.
carbon,thermal,0,"Application of the B/Ca proxy to reconstruct shifts in the concentration of [B(OH)4−/DIC] in seawater across major climate transi- tions has shed light on past carbon cycle perturbations84,85 (e.g., Paleoceane- Eocene Thermal Maximum), where large shifts "
sample,carbon,0,"We present a moderately high resolution (one sample every ~23 kyr) multi- proxy record of B/Ca, Mg/Ca, and carbon isotope (δ13Cp) variability in the planktic foraminifer Trilobatus trilobus spanning 16.5 to 11.5 Ma from Ocean Drilling Program (ODP) Site 7"
carbon,carbonate,0,"Similarly, in our study we aim to examine the carbon cycle perturbations of the early to middle Miocene, a time interval whereby a large carbonate system shifts likely occurred, suggesting some of the complexities that others have dis- cussed with regard "
dissolution,site,0,Several lines of evidence suggest that dissolution does not signiﬁcantly affect the Mg/Ca or B/Ca values at Site 761 and suggest our data represent a climate signal.
sample,isotope,0,"We present a moderately high resolution (one sample every ~23 kyr) multi- proxy record of B/Ca, Mg/Ca, and carbon isotope (δ13Cp) variability in the planktic foraminifer Trilobatus trilobus spanning 16.5 to 11.5 Ma from Ocean Drilling Program (ODP) Site 7"
carbonate,chemistry,0,"Here we present [B(OH)4−/HCO3–]sw to evaluate the main drivers of carbonate system change through the MCIE. Further, we consider both B/Ca carbonate chemistry sensitivities (e.g., [B(OH)4−/HCO3−]sw and [B(OH)4−/ DIC]sw) to estimate surface ocean DIC."
offset,core,1,"When we compile all available B/Ca-[B(OH)4−/DIC]sw and [B(OH)4−/ HCO3−]sw T. sacculifer calibration data, an offset is observed between culture81 and core-top86 datasets, where the core-top data sits lower and with a slightly steeper slope predicted by cu"
carbon,isotope,0,This suggests that the MCIE is not the sum of the carbon maxima events as originally supposed by the Monterey Hypothesis and instead that these two features of the carbon isotope record reﬂect different carbon cycle processes.
carbonate,chemistry,0,"Here we present [B(OH)4−/HCO3–]sw to evaluate the main drivers of carbonate system change through the MCIE. Further, we consider both B/Ca carbonate chemistry sensitivities (e.g., [B(OH)4−/HCO3−]sw and [B(OH)4−/ DIC]sw) to estimate surface ocean DIC."
carbon,isotope,0,This suggests that the MCIE is not the sum of the carbon maxima events as originally supposed by the Monterey Hypothesis and instead that these two features of the carbon isotope record reﬂect different carbon cycle processes.
offset,core,1,"When we compile all available B/Ca-[B(OH)4−/DIC]sw and [B(OH)4−/ HCO3−]sw T. sacculifer calibration data, an offset is observed between culture81 and core-top86 datasets, where the core-top data sits lower and with a slightly steeper slope predicted by cu"
core,surface,0,"lture experiments, although this slope difference may largely be a function of the different ranges spanned by the datasets, as the available core- top data are limited by the range in surface ocean carbonate chemistry (e.g., [B (OH)4−/DIC]sw) that span t"
core,carbonate,0,"lture experiments, although this slope difference may largely be a function of the different ranges spanned by the datasets, as the available core- top data are limited by the range in surface ocean carbonate chemistry (e.g., [B (OH)4−/DIC]sw) that span t"
surface,chemistry,0,"lture experiments, although this slope difference may largely be a function of the different ranges spanned by the datasets, as the available core- top data are limited by the range in surface ocean carbonate chemistry (e.g., [B (OH)4−/DIC]sw) that span t"
core,chemistry,0,"lture experiments, although this slope difference may largely be a function of the different ranges spanned by the datasets, as the available core- top data are limited by the range in surface ocean carbonate chemistry (e.g., [B (OH)4−/DIC]sw) that span t"
carbonate,chemistry,0,"lture experiments, although this slope difference may largely be a function of the different ranges spanned by the datasets, as the available core- top data are limited by the range in surface ocean carbonate chemistry (e.g., [B (OH)4−/DIC]sw) that span t"
surface,carbonate,0,"lture experiments, although this slope difference may largely be a function of the different ranges spanned by the datasets, as the available core- top data are limited by the range in surface ocean carbonate chemistry (e.g., [B (OH)4−/DIC]sw) that span t"
storage,carbon,0,"Permanent storage of carbon dioxide in geological reservoirs by mineral carbonation. Nature Geoscience 2, pp. 837‐841 Komor, S.C., Elthon, D. and Casey, J.F. 1985."
mineral,carbon,0,Mapping the mineral resource base for mineral carbon‐dioxide sequestration in the conterminous United States. U.S.
surface,site,0,Surface ocean pH estimates from ODP 872 are higher by 0.1 pH units compared with site 926 and 761 in the early Miocene (16.5–17.0 Ma) (Supplementary Fig. 2).
storage,mineral,0,"Permanent storage of carbon dioxide in geological reservoirs by mineral carbonation. Nature Geoscience 2, pp. 837‐841 Komor, S.C., Elthon, D. and Casey, J.F. 1985."
mineral,carbon,0,Mapping the mineral resource base for mineral carbon‐dioxide sequestration in the conterminous United States. U.S.
hydrogen,trap ,0,"Using a hydrogen-trap technique, Wei- dendorfer, et al.23 recently found that the dry solidus of the model a b c R163 2.0 GPa950°C R2063 2.0 GPa1000°C R157 2.0 GPa1100°C 100μm 100μm 100μm Ol Ol Ol CcCc Cc Cpx Cpx Cpx Cpx Carb. melt Carb. melt Fig."
storage,carbon,0,"Permanent storage of carbon dioxide in geological reservoirs by mineral carbonation. Nature Geoscience 2, pp. 837‐841 Komor, S.C., Elthon, D. and Casey, J.F. 1985."
assessment,carbon,0,"Assessment of Carbon dioxide sequestration potential of ultramafic rocks in the greenstone belts of southern India. Current Science 94, pp. 53‐59. McBirney, A.R. 1996. The Skaergaard Intrusion. In: Cawthorn R.G. (Ed.) Layered igneous intrusions."
steel,mineral,0,"Geological Survey Digital Data Series 414. available at http://pubs.usgs.gov/ds/414 Lackner, K.S., Diby, P.F., Tuncel, Y., Krevor, S. and Graves, C. 2008. Integrating steel production with mineral sequestration. TRP 9957."
hydrogen,technique,0,"Using a hydrogen-trap technique, Wei- dendorfer, et al.23 recently found that the dry solidus of the model a b c R163 2.0 GPa950°C R2063 2.0 GPa1000°C R157 2.0 GPa1100°C 100μm 100μm 100μm Ol Ol Ol CcCc Cc Cpx Cpx Cpx Cpx Carb. melt Carb. melt Fig."
temperature,reaction,0,Their FeO contents decrease with increasing temperature due to Fe loss to the capsule (Supplementary Table 1). Calcites in the reaction zones of the subsolidus experiments show much higher MgO contents than those within the limestone layers (e.g.
hydrogen,model,0,"Using a hydrogen-trap technique, Wei- dendorfer, et al.23 recently found that the dry solidus of the model a b c R163 2.0 GPa950°C R2063 2.0 GPa1000°C R157 2.0 GPa1100°C 100μm 100μm 100μm Ol Ol Ol CcCc Cc Cpx Cpx Cpx Cpx Carb. melt Carb. melt Fig."
trap ,technique,-1,"Using a hydrogen-trap technique, Wei- dendorfer, et al.23 recently found that the dry solidus of the model a b c R163 2.0 GPa950°C R2063 2.0 GPa1000°C R157 2.0 GPa1100°C 100μm 100μm 100μm Ol Ol Ol CcCc Cc Cpx Cpx Cpx Cpx Carb. melt Carb. melt Fig."
carbon,mineral,0,"Permanent storage of carbon dioxide in geological reservoirs by mineral carbonation. Nature Geoscience 2, pp. 837‐841 Komor, S.C., Elthon, D. and Casey, J.F. 1985."
trap ,model,0,"Using a hydrogen-trap technique, Wei- dendorfer, et al.23 recently found that the dry solidus of the model a b c R163 2.0 GPa950°C R2063 2.0 GPa1000°C R157 2.0 GPa1100°C 100μm 100μm 100μm Ol Ol Ol CcCc Cc Cpx Cpx Cpx Cpx Carb. melt Carb. melt Fig."
policy,environmental,0,"Datta and Krishnamoorti CCUS in Northeast India design and policy diﬀerences between Indian and US conditions like maximum allowed age of the plant, land tax, environmental tax etc., have not been accounted for."
